id;vendor_name_english;vendor_name_arabic;vendor_id;vendor_account_number;vendor_cr_number;vendor_vat_number;vendor_type;vendor_category;vendor_establishment_date;vendor_logo;vendor_logo_content_type;height;width;taken;uploaded;contact_full_name;contact_email_address;contact_primary_phone_no;contact_primary_fax_no;contact_secondary_phone_no;contact_secondary_fax_no;office_location;office_functionality;website_url;building_no;vendor_street_name;zip_code;district_name;additional_no;city_name;unit_no;country;google_map;combined_address;c_r_certificate_upload;c_r_certificate_upload_content_type;v_at_certificate_upload;v_at_certificate_upload_content_type;national_address_upload;national_address_upload_content_type;company_profile_upload;company_profile_upload_content_type;other_upload;other_upload_content_type;cash;credit;letter_of_credit;others
1;Bicycle;siemens Buckinghamshire aw;mid Synergized;voluptatem lavender Modern;Ball whereas;Fresh Group;LOCAL;DISTRIBUTOR;rem Bronze;../fake-data/blob/hipster.png;image/png;6897;20695;2023-08-03T21:43:57;2023-08-03T11:46:28;Planner;"c@R.r";chrysalis;male Home;evince Southwest;Universal in Mouse;hertz target Rhenium;SHOWROOM;South Dariana;Cargo;Forge;99740-8796;Barbuda Applications;systemic;Cruiser ohm Music;Sausages suspiciously ugh;USA;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Credit plum;Books Cambridgeshire male;shimmering;array
2;boo fuga;Non;Parkways;blue Chips Pickup;Brand;Infrastructure;FOREIGN;MANUFACTURER;Bugatti phooey quos;../fake-data/blob/hipster.png;image/png;225;17746;2023-08-03T04:52:39;2023-08-03T02:41:07;sizzling Vietnam South;"Z,@/.=1?aD";copying solution Elegant;Cab;woman;Sedan who North;interactive;MAIN;asymmetric;Cargo;system;00487-6539;Home;eek;Account compressing;Northeast;USA;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Bicycle;compress;Investor Manager;whose
3;Gloves;Auto Fiat;Southeast 1080p;Reggae Bespoke Cotton;extend;Pennsylvania;LOCAL;SUBCONTRACTOR;Soul Identity;../fake-data/blob/hipster.png;image/png;10211;20369;2023-08-03T15:49:02;2023-08-03T14:02:26;structure Sausages;"%zI0@dn4^`~.w|enB.";Minivan Borders generate;invoice Hatchback Northeast;Kina Gorgeous;ascertain;plum Peso;SHOWROOM;Trigender;Martin Generic;North;81373-6862;trinket;East Coupe since;Chief West;Strontium framework;SA;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Gasoline;B2B South terribly;Officer beneath program;variant male
4;Gasoline North;Southeast;azure female Southwest;loyally website Montana;Human Coupe quixotic;gore Strontium hard;LOCAL;MANUFACTURER;Neutrois integrate;../fake-data/blob/hipster.png;image/png;25897;15807;2023-08-03T03:07:54;2023-08-03T15:07:40;candela ouch;"U,7ok%@b?I`W.ib";Internal Grocery;Reactive visualize moderator;Granite madly Web;connect midst Bicycle;oppress Herman technologies;BRANCH;Forward;helpfully;Hybrid brr;46506;Berkshire;female;Lead;salmon;USA;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;primary Samoa withdrawal;opposite per Corporate;program;exactly pixel Manganese
5;invoice turquoise female;Diesel collaboration;evolve Avon dynamic;granular;streamline Northwest;pink Central creak;LOCAL;DISTRIBUTOR;National Compatible male;../fake-data/blob/hipster.png;image/png;58;28996;2023-08-03T14:26:50;2023-08-03T01:43:36;Magnesium;"}@h{.}D";Bedfordshire Florida;programming;South Dalasi;Outdoors let ah;Loan Arizona;SHOWROOM;synthesizing Group Chicken;override;Berkshire;81331-8053;Liaison Home Tunisian;Gasoline Northwest;diaper Kiehn Avon;scalable;TURKEY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;female;asymmetric Licensed evolve;Cis leverage Flerovium;Granite
6;United;indigo F2M interactive;yet overhaul;facilitate female;alias meanwhile;blackbird Northeast Diesel;FOREIGN;SUPPLIER;Recumbent Southwest Brand;../fake-data/blob/hipster.png;image/png;28295;5054;2023-08-03T03:14:40;2023-08-03T03:23:51;Greens Northeast;"s=5{48@ag.LV;";West;ha ubiquitous Bicycle;Montana Argentina Diesel;Kids around Shirt;deposit;MAIN;tan Folk as;Health;female finally;80012-8939;Chair interface Human;payment;through;quarterly;INDIA;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;very Intelligent grey;lavender quantifying;microchip yuppify;Country than Web
7;firewall Namibia user;abaft Markets eliminate;Berkshire;um;yet;watt Hybrid Hybrid;FOREIGN;MANUFACTURER;Togo Southwest;../fake-data/blob/hipster.png;image/png;21695;10894;2023-08-03T23:35:06;2023-08-03T08:49:27;Missouri Transmasculine payment;"e<6.@40{OU.yG";Uzbekistan;North Rap Rica;Rubber;quicker Omnigender;Honda evolve;MAIN;Jeep microchip;connect;compress Mercury Northeast;00848-7722;Alba;Rubber parse;transmitter;Web magenta exploit;USA;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Awesome compressing Small;Rubber Cloned West;traduce applications olive;unless
8;withdrawal Convertible West;Johnson rem card;how;Future Country;Developer expedite;Agent Loan Shirt;FOREIGN;MANUFACTURER;South array;../fake-data/blob/hipster.png;image/png;21501;17144;2023-08-03T15:08:08;2023-08-03T03:03:58;application Chief;"q:F+@F<La4h.>4|P:";markets;Radon;Generic Checking;yahoo;pariatur;BRANCH;female Euna;Soft ivory;Northwest Van Principal;86231-3231;panel Demiflux Northeast;circuit but;Identity;repurpose;TURKEY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Unbranded Configurable;efficient anti Nigeria;invoice male aha;Soul Smart
9;Soft Cisgender Panama;Administrator Ferrari;Cisgender;yuck Organized;Tennessee Streamlined orchid;tatami edge synergies;FOREIGN;MANUFACTURER;grounded;../fake-data/blob/hipster.png;image/png;24016;32474;2023-08-03T23:30:30;2023-08-03T07:43:21;sniveling Hop invoice;"${Na@?./gKCs<";Bacon experiences;black Kazakhstan;Fish Account;Baby;override Marketing;BRANCH;Money Gender Tennessee;female Southeast;Outdoors;79189;Hafnium Elegant Steel;Soft;Malawi Home Frozen;North autograph;USA;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;foreground;Northeast ivory;Americium Birr;cumque
10;hack Division;North;Hong;deposit;Modern Marino withdrawal;matrix;FOREIGN;DISTRIBUTOR;Hat Kip;../fake-data/blob/hipster.png;image/png;5657;19253;2023-08-03T14:14:31;2023-08-03T10:02:37;bluetooth whoever;"Q`2uX@!TjKt!.pf;3*&";Cook male cyan;beyond West Soft;generation;tracksuit Developer equipment;West;BRANCH;North Manat;Liaison white software;Gasoline;71162-4444;Hybrid Electronic within;Touring;Northeast South;Global Silicon Regional;USA;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;causal;yellow Island Quetzal;because;extensible
